Destination,Category,DailyCost_INR,BestMonth,TopAttraction,Vibe
Goa,Beach,3500,December,Baga Beach,Party and relaxing
Manali,Mountain,2500,January,Solang Valley,Snow sports and scenic views
Agra,Historical,2000,October,Taj Mahal,Heritage and architecture
Ooty,Mountain,3000,October,Botanical Gardens,Teagardens and chilly weather
Munnar,Mountain,2800,September,Eravikulam National Park,Green hills and peace
Puri,Beach,1800,November,Jagannath Temple,Spiritual and quiet beaches
Jaipur,Historical,2200,November,Amer Fort,Palaces and traditional food
Ranthambore,Wildlife,4000,November,National Park,Tiger safari and nature
Varanasi,Spiritual,1500,October,Dashashwamedh Ghat,Ganga Aarti and ancient culture
Ladakh,Adventure,5000,June,Pangong Tso Lake,Road trips and high mountains
